Date,Open,High,Low,Close
09/18/2024,"59,992","61,309","59,215","60,070"
09/17/2024,"57,894","61,330","57,614","59,992"
09/16/2024,"59,891","59,941","57,518","57,894"
09/15/2024,"59,829","60,387","59,761","59,891"
09/14/2024,"59,743","60,656","59,524","59,829"
09/13/2024,"58,382","60,004","57,654","59,742"
09/12/2024,"57,645","58,513","57,243","58,380"
09/11/2024,"57,971","57,990","55,567","57,649"
09/10/2024,"57,121","58,029","56,418","57,973"
09/09/2024,"54,343","57,167","54,196","57,123"
09/08/2024,"54,406","54,700","53,641","54,343"
09/07/2024,"53,497","54,829","52,605","54,406"
09/06/2024,"56,021","56,968","53,255","53,499"
09/05/2024,"58,065","58,370","55,797","56,020"
09/04/2024,"58,005","58,510","55,683","58,064"
09/03/2024,"58,437","59,801","57,573","58,004"
09/02/2024,"58,490","58,784","57,142","58,437"
09/01/2024,"58,859","59,120","57,406","58,489"
08/31/2024,"58,721","59,434","58,713","58,859"
08/30/2024,"59,257","59,843","57,835","58,724"
08/29/2024,"58,877","61,173","58,695","59,256"
08/28/2024,"62,087","62,088","57,889","58,874"
08/27/2024,"63,329","63,575","61,483","62,085"
08/26/2024,"64,217","64,997","63,107","63,323"
08/25/2024,"64,249","64,506","63,604","64,217"
08/24/2024,"63,685","64,907","63,553","64,249"
08/23/2024,"60,281","63,841","60,281","63,687"
08/22/2024,"61,583","61,796","59,833","60,280"
08/21/2024,"59,501","61,642","58,835","61,583"
08/20/2024,"59,016","61,376","58,627","59,500"
08/19/2024,"59,699","59,845","57,867","59,020"
08/18/2024,"59,479","60,235","59,181","59,699"
08/17/2024,"59,733","59,733","58,775","59,479"
08/16/2024,"57,057","59,839","56,222","59,736"
08/15/2024,"58,912","59,834","56,753","57,057"
08/14/2024,"60,858","61,664","58,757","58,913"
08/13/2024,"59,035","61,573","58,503","60,860"
08/12/2024,"59,650","60,638","57,702","59,034"
08/11/2024,"61,027","61,743","59,589","59,651"
08/10/2024,"60,692","61,444","59,996","61,027"
08/09/2024,"59,400","62,622","59,350","60,691"
08/08/2024,"54,747","59,852","54,614","59,396"
08/07/2024,"56,803","57,704","54,694","54,747"
08/06/2024,"53,462","57,053","53,462","56,805"
08/05/2024,"59,248","59,519","49,314","53,461"
08/04/2024,"60,212","61,053","57,284","59,249"
08/03/2024,"62,572","63,094","59,916","60,212"
08/02/2024,"63,380","65,538","62,436","62,574"
08/01/2024,"65,239","65,358","62,255","63,379"
07/31/2024,"65,862","66,796","65,002","65,238"
07/30/2024,"67,267","67,538","65,566","65,864"
07/29/2024,"68,123","69,990","66,525","67,267"
07/28/2024,"68,276","69,103","66,723","68,123"
07/27/2024,"68,014","69,404","67,438","68,275"
07/26/2024,"64,680","68,132","64,436","68,014"
07/25/2024,"65,668","66,058","63,461","64,680"
07/24/2024,"65,496","67,091","65,487","65,668"
07/23/2024,"68,249","68,285","65,483","65,495"
07/22/2024,"67,450","68,473","66,612","68,248"
07/21/2024,"67,261","67,713","65,851","67,450"
07/20/2024,"67,232","67,614","66,303","67,261"
07/19/2024,"63,518","67,443","63,313","67,235"
07/18/2024,"64,571","65,097","63,241","63,518"
07/17/2024,"65,195","66,105","63,891","64,571"
07/16/2024,"63,452","65,211","62,457","65,196"
07/15/2024,"59,938","63,868","59,912","63,453"
07/14/2024,"58,647","60,391","58,316","59,938"
07/13/2024,"57,608","58,968","57,173","58,647"
07/12/2024,"57,386","58,529","56,563","57,606"
07/11/2024,"57,401","59,354","57,100","57,386"
07/10/2024,"57,863","59,409","57,368","57,403"
07/09/2024,"56,492","58,234","56,203","57,863"
07/08/2024,"57,136","58,145","54,317","56,494"
07/07/2024,"57,865","58,464","56,599","57,136"
07/06/2024,"56,458","58,077","56,037","57,864"
07/05/2024,"58,254","58,723","53,701","56,458"
07/04/2024,"59,613","60,406","56,757","58,253"
07/03/2024,"61,804","62,191","59,614","59,614"
07/02/2024,"63,235","63,343","61,743","61,804"
07/01/2024,"61,931","63,789","61,771","63,236"
06/30/2024,"60,955","61,991","60,623","61,931"
06/29/2024,"59,956","61,113","59,947","60,955"
06/28/2024,"61,345","62,139","59,956","59,956"
06/27/2024,"60,947","62,320","60,575","61,343"
06/26/2024,"61,998","62,451","60,690","60,949"
06/25/2024,"59,196","62,330","58,580","61,999"
06/24/2024,"64,099","64,108","59,074","59,191"
06/23/2024,"64,273","64,491","63,895","64,099"
06/22/2024,"64,174","64,485","63,818","64,273"
06/21/2024,"64,974","65,141","63,367","64,173"
06/20/2024,"64,860","66,450","64,529","64,973"
06/19/2024,"64,374","65,694","64,187","64,860"
06/18/2024,"66,622","66,703","64,052","64,374"
06/17/2024,"66,505","67,251","65,071","66,622"
06/16/2024,"66,119","66,729","65,846","66,505"
06/15/2024,"65,454","66,559","65,454","66,119"
06/14/2024,"66,581","67,308","65,035","65,453"
06/13/2024,"67,574","68,595","66,254","66,582"
06/12/2024,"67,377","69,986","66,909","67,577"
06/11/2024,"69,509","69,666","66,178","67,376"
06/10/2024,"69,714","70,154","69,202","69,510"
06/09/2024,"69,455","69,839","69,156","69,714"
06/08/2024,"69,297","69,534","68,967","69,455"
06/07/2024,"70,452","71,927","68,535","69,298"
06/06/2024,"71,312","71,624","70,450","70,452"
06/05/2024,"70,481","71,765","70,183","71,314"
06/04/2024,"69,153","71,072","68,557","70,484"
06/03/2024,"67,718","70,250","67,556","69,150"
06/02/2024,"67,705","68,401","67,309","67,718"
06/01/2024,"67,555","67,805","67,171","67,705"
05/31/2024,"68,635","68,990","66,628","67,555"
05/30/2024,"67,188","69,515","67,112","68,635"
05/29/2024,"68,368","68,837","67,110","67,186"
05/28/2024,"69,217","69,778","67,235","68,369"
05/27/2024,"68,861","70,581","68,231","69,216"
05/26/2024,"69,153","69,459","68,661","68,861"
05/25/2024,"69,198","69,568","68,511","69,153"
05/24/2024,"67,076","69,242","66,439","69,202"
05/23/2024,"69,584","70,010","66,736","67,075"
05/22/2024,"69,278","70,605","69,220","69,584"
05/21/2024,"70,058","71,935","68,958","69,278"
05/20/2024,"66,044","70,058","66,009","70,058"
05/19/2024,"66,937","67,674","65,927","66,044"
05/18/2024,"67,049","67,380","66,656","66,937"
05/17/2024,"65,168","67,459","65,068","67,046"
05/16/2024,"66,088","66,666","64,620","65,169"
05/15/2024,"61,553","66,450","61,334","66,088"
05/14/2024,"63,127","63,169","61,118","61,553"
05/13/2024,"61,386","63,419","60,758","63,126"
05/12/2024,"61,121","61,818","60,626","61,386"
05/11/2024,"60,627","61,443","60,457","61,121"
05/10/2024,"62,456","63,453","60,233","60,626"
05/09/2024,"62,162","62,642","60,655","62,456"
05/08/2024,"63,040","63,173","61,790","62,162"
05/07/2024,"63,193","64,380","62,820","63,040"
05/06/2024,"63,884","65,471","62,739","63,193"
05/05/2024,"63,939","64,591","62,954","63,883"
05/04/2024,"62,095","64,505","62,013","63,939"
05/03/2024,"59,338","62,153","58,719","62,096"
05/02/2024,"56,975","59,564","56,713","59,336"
05/01/2024,"59,164","60,952","56,553","56,979"
04/30/2024,"62,955","64,684","59,109","59,166"
04/29/2024,"63,736","63,736","61,814","62,955"
04/28/2024,"63,314","64,305","63,121","63,736"
04/27/2024,"63,836","64,068","62,461","63,314"
04/26/2024,"64,680","65,254","63,320","63,839"
04/25/2024,"63,958","64,870","62,806","64,678"
04/24/2024,"66,470","67,058","63,777","63,959"
04/23/2024,"66,599","67,228","65,865","66,468"
04/22/2024,"64,554","66,847","64,397","66,602"
04/21/2024,"64,891","65,711","64,277","64,554"
04/20/2024,"64,316","65,418","63,046","64,891"
04/19/2024,"63,548","65,476","59,665","64,315"
04/18/2024,"60,998","64,148","60,800","63,546"
04/17/2024,"62,754","64,466","59,744","60,999"
04/16/2024,"63,371","63,876","61,727","62,755"
04/15/2024,"64,200","66,870","62,375","63,370"
04/14/2024,"64,838","65,568","60,908","64,200"
04/13/2024,"66,868","67,929","64,095","64,828"
04/12/2024,"70,460","71,231","65,484","66,870"
04/11/2024,"70,026","71,253","69,576","70,460"
04/10/2024,"68,995","70,023","67,510","70,023"
04/09/2024,"71,674","71,975","68,274","68,995"
04/08/2024,"69,080","72,695","68,931","71,671"
04/07/2024,"68,282","70,285","68,207","69,080"
04/06/2024,"67,433","68,498","67,357","68,282"
04/05/2024,"68,449","68,731","66,018","67,433"
04/04/2024,"65,871","69,269","65,114","68,445"
04/03/2024,"66,075","66,916","64,572","65,872"
04/02/2024,"69,716","69,910","64,587","66,081"
04/01/2024,"71,024","71,365","68,117","69,717"
03/31/2024,"69,946","71,220","69,598","71,024"
03/30/2024,"69,690","70,349","69,350","69,946"
03/29/2024,"70,856","71,068","69,130","69,689"
03/28/2024,"68,640","71,563","68,608","70,857"
03/27/2024,"69,438","71,715","68,397","68,641"
03/26/2024,"71,013","71,543","69,348","69,438"
03/25/2024,"65,840","71,086","65,752","71,010"
03/24/2024,"64,889","65,988","63,828","65,840"
03/23/2024,"63,952","65,991","62,385","64,890"
03/22/2024,"65,318","66,618","62,639","63,958"
03/21/2024,"65,693","68,188","64,869","65,320"
03/20/2024,"64,419","65,984","60,828","65,693"
03/19/2024,"66,958","68,094","62,348","64,421"
03/18/2024,"68,517","68,890","66,598","66,959"
03/17/2024,"66,914","68,590","64,554","68,517"
03/16/2024,"68,870","70,034","66,648","66,916"
03/15/2024,"69,302","72,376","65,685","68,859"
03/14/2024,"73,466","73,798","68,575","69,303"
03/13/2024,"71,398","73,679","70,681","73,463"
03/12/2024,"72,021","72,960","68,826","71,395"
03/11/2024,"69,530","72,886","67,376","72,021"
03/10/2024,"68,512","70,000","68,377","69,530"
03/09/2024,"69,294","69,379","68,060","68,512"
03/08/2024,"67,751","70,136","66,238","69,294"
03/07/2024,"67,134","68,051","65,664","67,755"
03/06/2024,"61,910","67,627","61,908","67,139"
03/05/2024,"67,708","69,209","59,706","61,909"
03/04/2024,"62,794","67,911","62,530","67,710"
03/03/2024,"61,947","63,007","61,449","62,794"
03/02/2024,"63,047","63,048","61,655","61,947"
03/01/2024,"62,064","63,231","60,703","63,053"
02/29/2024,"60,318","63,636","59,817","62,074"
02/28/2024,"56,990","64,038","56,646","60,312"
02/27/2024,"54,480","57,582","54,360","56,989"
02/26/2024,"51,738","54,944","50,936","54,479"
02/25/2024,"51,510","51,955","51,298","51,738"
02/24/2024,"51,101","51,680","50,543","51,510"
02/23/2024,"51,963","52,001","50,640","51,101"
02/22/2024,"50,978","52,019","50,927","51,963"
02/21/2024,"52,018","52,509","50,677","50,978"
02/20/2024,"51,811","52,974","50,789","52,018"
02/19/2024,"51,791","52,489","51,708","51,811"
02/18/2024,"51,533","52,056","51,216","51,791"
02/17/2024,"51,843","52,246","50,662","51,533"
02/16/2024,"51,721","52,580","51,370","51,842"
02/15/2024,"51,714","52,839","51,518","51,721"
02/14/2024,"49,424","52,052","49,282","51,713"
02/13/2024,"50,190","50,369","48,380","49,424"
02/12/2024,"48,055","50,314","47,734","50,190"
02/11/2024,"47,894","48,580","47,596","48,055"
02/10/2024,"47,544","48,155","46,900","47,894"
02/09/2024,"45,508","48,153","45,263","47,543"
02/08/2024,"44,116","45,600","44,116","45,508"
02/07/2024,"43,074","44,238","42,770","44,116"
02/06/2024,"42,374","43,351","42,295","43,074"
02/05/2024,"42,852","43,506","42,253","42,375"
02/04/2024,"43,049","43,092","42,556","42,852"
02/03/2024,"42,931","43,348","42,878","43,049"
02/02/2024,"42,980","43,430","42,559","42,932"
02/01/2024,"42,519","43,251","41,872","42,979"
01/31/2024,"43,560","43,726","42,342","42,519"
01/30/2024,"43,158","43,834","43,077","43,560"
01/29/2024,"41,943","43,292","41,659","43,158"
01/28/2024,"42,056","42,809","41,686","41,943"
01/27/2024,"41,975","42,065","41,409","42,056"
01/26/2024,"39,769","42,213","39,769","41,975"
01/25/2024,"39,553","40,266","39,468","39,766"
01/24/2024,"39,159","40,502","39,043","39,563"
01/23/2024,"40,124","40,138","38,515","39,162"
01/22/2024,"41,627","41,770","39,424","40,123"
01/21/2024,"41,715","41,848","41,525","41,626"
01/20/2024,"41,515","41,770","41,436","41,714"
01/19/2024,"40,776","42,132","40,280","41,513"
01/18/2024,"42,646","42,873","40,618","40,786"
01/17/2024,"43,171","43,558","42,186","42,648"
01/16/2024,"42,895","43,383","42,076","43,170"
01/15/2024,"42,491","43,313","41,696","42,895"
01/14/2024,"42,861","43,057","42,336","42,491"
01/13/2024,"43,656","43,845","41,595","42,861"
01/12/2024,"46,220","46,498","43,196","43,656"
01/11/2024,"46,159","49,042","45,227","46,221"
01/10/2024,"46,651","47,902","44,386","46,159"
01/09/2024,"46,800","47,228","45,808","46,651"
01/08/2024,"44,158","47,257","43,240","46,799"
01/07/2024,"43,856","44,487","43,780","44,158"
01/06/2024,"43,997","44,318","43,467","43,856"
01/05/2024,"44,180","44,781","42,708","43,997"
01/04/2024,"42,739","44,640","42,624","44,180"
01/03/2024,"44,818","45,490","40,838","42,740"
01/02/2024,"43,683","45,913","43,413","44,818"
01/01/2024,"42,537","43,830","42,084","43,683"
12/31/2023,"42,283","42,844","41,990","42,537"
12/30/2023,"42,023","42,581","41,386","42,283"
12/29/2023,"42,521","43,121","41,689","42,023"
12/28/2023,"43,498","43,812","42,314","42,521"
12/27/2023,"42,154","43,562","42,123","43,498"
12/26/2023,"43,422","43,718","41,689","42,154"
12/25/2023,"43,530","43,788","42,716","43,422"
12/24/2023,"43,732","43,952","43,447","43,530"
12/23/2023,"43,685","44,069","43,349","43,732"
12/22/2023,"43,776","44,396","43,435","43,685"
12/21/2023,"43,454","44,244","43,318","43,776"
12/20/2023,"42,210","44,286","42,199","43,453"
12/19/2023,"41,941","43,409","41,815","42,211"
12/18/2023,"42,077","42,077","40,522","41,941"
12/17/2023,"42,302","42,360","41,564","42,077"
12/16/2023,"42,244","42,665","41,681","42,302"
12/15/2023,"42,934","43,176","41,684","42,245"
12/14/2023,"42,888","43,430","41,739","42,933"
12/13/2023,"41,214","42,889","40,658","42,888"
12/12/2023,"40,804","42,067","40,662","41,215"
12/11/2023,"43,956","44,042","40,219","40,804"
12/10/2023,"43,993","44,078","43,622","43,956"
12/09/2023,"44,394","44,724","43,767","43,993"
12/08/2023,"43,241","44,428","43,113","44,393"
12/07/2023,"43,803","44,039","42,879","43,241"
12/06/2023,"43,771","44,445","43,429","43,803"
12/05/2023,"41,774","44,080","41,419","43,772"
12/04/2023,"39,585","42,140","39,585","41,775"
12/03/2023,"39,554","39,830","39,307","39,585"
12/02/2023,"38,770","39,610","38,664","39,552"
12/01/2023,"37,758","38,984","37,627","38,770"
11/30/2023,"37,651","38,146","37,523","37,758"
11/29/2023,"38,282","38,385","37,610","37,651"
11/28/2023,"36,816","38,403","36,805","38,286"
11/27/2023,"37,595","37,755","36,752","36,816"
11/26/2023,"37,817","37,830","37,178","37,595"
11/25/2023,"37,861","37,958","37,619","37,817"
11/24/2023,"37,289","38,416","37,230","37,861"
11/23/2023,"37,635","37,855","36,915","37,289"
11/22/2023,"36,943","37,636","35,675","37,635"
11/21/2023,"37,573","37,656","36,296","36,942"
11/20/2023,"36,935","37,766","36,843","37,573"
11/19/2023,"36,619","37,037","36,416","36,936"
11/18/2023,"36,501","36,841","36,226","36,619"
11/17/2023,"35,948","36,684","35,849","36,501"
11/16/2023,"37,562","37,964","35,534","35,948"
11/15/2023,"35,286","37,855","35,232","37,562"
11/14/2023,"36,779","36,792","34,971","35,287"
11/13/2023,"37,146","37,419","36,593","36,778"
11/12/2023,"37,015","37,231","36,766","37,146"
11/11/2023,"37,259","37,520","36,937","37,015"
11/10/2023,"36,556","37,458","36,360","37,259"
11/09/2023,"35,628","37,960","35,413","36,556"
11/08/2023,"35,683","35,761","35,146","35,629"
11/07/2023,"35,027","35,894","34,546","35,685"
11/06/2023,"35,040","35,371","34,570","35,027"
11/05/2023,"34,758","35,327","34,742","35,040"
11/04/2023,"34,546","34,952","34,512","34,758"
11/03/2023,"34,997","35,104","34,126","34,546"
11/02/2023,"34,567","35,939","34,337","34,996"
11/01/2023,"34,545","35,184","34,142","34,567"
10/31/2023,"34,447","34,610","34,067","34,545"
10/30/2023,"34,580","34,842","34,110","34,447"
10/29/2023,"34,124","34,748","33,954","34,580"
10/28/2023,"33,688","34,445","33,688","34,124"
10/27/2023,"34,064","34,283","33,415","33,688"
10/26/2023,"34,773","34,842","33,752","34,066"
10/25/2023,"33,810","35,124","33,497","34,774"
10/24/2023,"31,392","35,145","31,350","33,811"
10/23/2023,"29,855","31,438","29,735","31,393"
10/22/2023,"30,173","30,214","29,712","29,855"
10/21/2023,"29,578","30,313","29,484","30,173"
10/20/2023,"28,765","30,188","28,601","29,578"
10/19/2023,"28,262","28,893","28,167","28,765"
10/18/2023,"28,521","28,964","28,168","28,262"
10/17/2023,"28,465","28,635","28,108","28,521"
10/16/2023,"27,043","29,977","27,021","28,465"
10/15/2023,"26,869","27,078","26,813","27,043"
10/14/2023,"26,771","27,104","26,744","26,869"
10/13/2023,"26,706","26,933","26,678","26,770"
10/12/2023,"26,759","26,930","26,554","26,706"
10/11/2023,"27,400","27,472","26,541","26,759"
10/10/2023,"27,614","27,727","27,298","27,400"
10/09/2023,"27,907","27,996","27,297","27,614"
10/08/2023,"27,884","28,106","27,733","27,907"
10/07/2023,"27,973","28,226","27,874","27,884"
10/06/2023,"27,487","28,054","27,195","27,972"
10/05/2023,"27,627","28,112","27,374","27,487"
10/04/2023,"27,269","27,825","27,194","27,627"
10/03/2023,"27,970","27,971","27,258","27,268"
10/02/2023,"27,105","28,565","27,061","27,969"
10/01/2023,"27,031","27,281","26,959","27,105"
09/30/2023,"26,921","27,089","26,867","27,031"
09/29/2023,"27,106","27,226","26,713","26,921"
09/28/2023,"26,241","27,287","26,208","27,105"
09/27/2023,"26,241","26,819","26,098","26,241"
09/26/2023,"26,335","26,418","26,091","26,241"
09/25/2023,"26,455","26,520","26,005","26,336"
09/24/2023,"26,614","26,718","26,392","26,455"
09/23/2023,"26,539","26,635","26,496","26,614"
09/22/2023,"26,607","26,731","26,491","26,539"
09/21/2023,"26,938","27,234","26,379","26,607"
09/20/2023,"27,198","27,382","26,846","26,938"
09/19/2023,"26,834","27,491","26,678","27,198"
09/18/2023,"26,512","27,420","26,413","26,834"
09/17/2023,"26,542","26,616","26,444","26,512"
09/16/2023,"26,410","26,872","26,384","26,542"
09/15/2023,"26,686","26,710","26,227","26,410"
09/14/2023,"26,156","26,824","26,153","26,686"
09/13/2023,"26,074","26,395","25,777","26,156"
09/12/2023,"25,006","26,503","24,926","26,074"
09/11/2023,"25,800","26,006","24,963","25,006"
09/10/2023,"25,868","25,910","25,608","25,800"
09/09/2023,"25,883","25,926","25,804","25,868"
09/08/2023,"25,877","26,414","25,664","25,882"
09/07/2023,"25,657","25,952","25,609","25,877"
09/06/2023,"25,676","25,999","25,394","25,656"
09/05/2023,"25,884","25,907","25,581","25,676"
09/04/2023,"26,002","26,105","25,732","25,884"
09/03/2023,"25,832","26,040","25,819","26,002"
09/02/2023,"25,622","25,974","25,560","25,832"
09/01/2023,"26,161","26,178","25,337","25,622"
08/31/2023,"27,181","27,528","25,960","26,161"
08/30/2023,"27,851","27,878","27,051","27,182"
08/29/2023,"25,981","28,128","25,915","27,852"
08/28/2023,"26,113","26,223","25,863","25,981"
08/27/2023,"26,029","26,167","25,965","26,113"
08/26/2023,"25,956","26,098","25,947","26,029"
08/25/2023,"26,006","26,279","25,771","25,956"
08/24/2023,"26,632","26,708","25,878","26,006"
08/23/2023,"25,768","26,789","25,381","26,632"
08/22/2023,"26,094","26,222","25,729","25,768"
08/21/2023,"26,135","26,274","25,831","26,095"
08/20/2023,"26,129","26,206","25,997","26,135"
08/19/2023,"26,029","26,251","25,800","26,129"
08/18/2023,"27,857","27,878","25,392","26,028"
08/17/2023,"29,085","29,105","27,705","27,857"
08/16/2023,"29,153","29,221","28,928","29,089"
08/15/2023,"29,324","29,444","29,074","29,153"
08/14/2023,"29,424","29,662","29,100","29,324"
08/13/2023,"29,403","29,440","29,312","29,424"
08/12/2023,"29,360","29,471","29,354","29,403"
08/11/2023,"29,395","29,525","29,233","29,360"
08/10/2023,"29,394","29,696","29,333","29,395"
08/09/2023,"29,883","30,193","29,388","29,394"
08/08/2023,"29,113","29,960","29,091","29,883"
08/07/2023,"29,048","29,168","28,675","29,112"
08/06/2023,"29,038","29,096","28,962","29,048"
08/05/2023,"28,992","29,105","28,800","29,038"
08/04/2023,"29,261","29,329","28,940","28,992"
08/03/2023,"29,134","29,390","28,956","29,261"
08/02/2023,"29,262","30,012","28,934","29,134"
08/01/2023,"29,141","29,337","28,574","29,262"
07/31/2023,"29,195","29,508","29,055","29,140"
07/30/2023,"29,342","29,443","29,123","29,195"
07/29/2023,"29,315","29,399","29,262","29,342"
07/28/2023,"29,156","29,526","29,123","29,317"
07/27/2023,"29,401","29,674","29,086","29,156"
07/26/2023,"29,202","29,470","29,109","29,401"
07/25/2023,"29,104","29,365","29,057","29,202"
07/24/2023,"30,086","30,143","28,872","29,104"
07/23/2023,"29,839","30,332","29,650","30,086"
07/22/2023,"29,879","29,988","29,811","29,839"
07/21/2023,"29,745","30,055","29,674","29,879"
07/20/2023,"30,046","30,411","29,593","29,745"
07/19/2023,"29,719","30,186","29,707","30,046"
07/18/2023,"29,903","30,272","29,551","29,717"
07/17/2023,"30,272","30,368","29,679","29,903"
07/16/2023,"30,341","30,444","30,083","30,272"
07/15/2023,"30,119","30,392","30,000","30,341"
07/14/2023,"31,665","31,718","29,947","30,119"
07/13/2023,"30,280","31,809","30,242","31,664"
07/12/2023,"30,587","30,968","30,223","30,280"
07/11/2023,"30,838","31,033","30,221","30,587"
07/10/2023,"30,249","30,841","29,966","30,837"
07/09/2023,"30,118","30,431","30,075","30,249"
07/08/2023,"30,236","30,378","30,062","30,118"
07/07/2023,"30,312","30,441","29,737","30,236"
07/06/2023,"30,441","31,505","29,897","30,312"
07/05/2023,"30,707","30,872","30,200","30,437"
07/04/2023,"31,262","31,321","30,638","30,707"
07/03/2023,"30,559","31,376","30,469","31,262"
07/02/2023,"30,614","30,673","30,192","30,558"
07/01/2023,"30,399","30,640","30,324","30,614"
06/30/2023,"30,594","31,259","29,470","30,399"
06/29/2023,"30,103","30,824","29,961","30,593"
06/28/2023,"30,678","30,733","29,874","30,104"
06/27/2023,"30,260","31,008","30,126","30,679"
06/26/2023,"30,423","30,646","29,950","30,269"
06/25/2023,"30,640","31,042","30,356","30,423"
06/24/2023,"30,904","30,968","30,278","30,640"
06/23/2023,"30,228","31,412","29,823","30,903"
06/22/2023,"30,121","30,500","29,575","30,229"
06/21/2023,"27,999","30,770","27,893","30,120"
06/20/2023,"26,669","28,150","26,648","27,999"
06/19/2023,"26,645","27,032","26,259","26,669"
06/18/2023,"26,469","26,650","26,394","26,645"
06/17/2023,"26,371","26,756","26,174","26,469"
06/16/2023,"25,430","26,468","25,214","26,371"
06/15/2023,"25,868","25,870","24,790","25,430"
06/14/2023,"25,892","26,064","25,786","25,869"
06/13/2023,"25,825","26,406","25,720","25,891"
06/12/2023,"26,046","26,202","25,649","25,825"
06/11/2023,"25,761","26,106","25,668","26,045"
06/10/2023,"26,402","26,522","25,460","25,743"
06/09/2023,"26,544","26,772","26,312","26,402"
06/08/2023,"26,489","26,809","26,146","26,545"
06/07/2023,"27,095","27,377","26,269","26,490"
06/06/2023,"25,628","27,186","25,393","27,098"
06/05/2023,"27,220","27,456","25,424","25,628"
06/04/2023,"27,108","27,296","26,950","27,220"
06/03/2023,"27,247","27,331","27,050","27,108"
06/02/2023,"26,864","27,289","26,535","27,239"
06/01/2023,"27,014","27,342","26,640","26,864"
05/31/2023,"27,855","27,869","26,860","27,015"
05/30/2023,"27,648","28,046","27,574","27,854"
05/29/2023,"27,535","28,441","27,535","27,648"
05/28/2023,"26,744","27,725","26,740","27,535"
05/27/2023,"26,779","26,849","26,591","26,744"
05/26/2023,"26,474","26,939","26,341","26,778"
05/25/2023,"26,243","26,600","25,887","26,474"
05/24/2023,"27,195","27,254","26,090","26,243"
05/23/2023,"26,857","27,455","26,810","27,195"
05/22/2023,"26,912","27,090","26,552","26,856"
